"filename", "language", "YAML", "Markdown", "HTML", "Dart", "JSON", "C++", "Swift", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\lib\screens\auth_screen.dart", "Dart", 0, 0, 0, 295, 0, 0, 0, 0, 0, 0, 3, 14, 312
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\lib\screens\btl_connect_screen.dart", "Dart", 0, 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 14, 300
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\lib\screens\google_map_screen.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\lib\screens\historical_stat.screen.dart", "Dart", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 4, 60
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\lib\screens\new_user_screen.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\lib\screens\ride_screen.dart", "Dart", 0, 0, 0, 413, 0, 0, 0, 0, 0, 0, 5, 27, 445
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\lib\screens\set_goal_screen.dart", "Dart", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 7, 103
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\lib\screens\user_main_menu.dart", "Dart", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 4, 98
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\lib\widgets\user_data.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 4, 69
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\pubspec.yaml", "YAML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 15, 101
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\web\index.html", "HTML", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 17, 6, 102
"c:\Users\Kurly\Documents\School\Fall 2021\Senior Project\bike_power_meter\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 31, 13, 79, 2071, 180, 1, 12, 130, 8, 86, 196, 243, 3050
